"Country","Abdominal pain","Acute kidney injury","Anaemia","Anxiety","Arthralgia","Asthenia","Back pain","Blood pressure increased","Condition aggravated","Constipation","Cough","Death","Decreased appetite","Depression","Diarrhoea","Dizziness","Drug dose omission","Drug ineffective","Dyspnoea","Fall","Fatigue","Feeling abnormal","Gait disturbance","Gynaecomastia","Headache","Hypertension","Hypotension","Insomnia","Malaise","Nausea","Off label use","Pain","Pain in extremity","Peripheral swelling","Pneumonia","Pruritus","Pyrexia","Rash","Urinary tract infection","Vomiting","Weight decreased","Weight increased"
"ES",0.0168213990256457,0.0438459417225848,0.0542329258203879,0.00404448938321537,0.0110304255905874,0.0361246438091736,0.00983546281827374,0.00514753194227411,0.0370438459417226,0.0220608511811747,0.00808897876643074,0.026197260777645,0.0178325213714496,0.00726169684713669,0.0502803566504274,0.0290467873885467,0.00119496277231363,0.048901553451604,0.0359408033826638,0.0170971596654104,0.0186598032907436,0,0.0153506756135674,0,0.0177406011581947,0.0212335692618807,0.0216012501149003,0.00468793087599963,0.0187517235039985,0.0382388087140362,0.0586450960566229,0.0193951649967828,0.00836473940619542,0.00386064895670558,0.082084750436621,0.0146153139075283,0.0750068940159941,0.0270245426969391,0.0173729203051751,0.0435701810828201,0.00891626068572479,0.00284952661090174
"FR",0.0279855584146171,0.106875710609778,0.0562902678874195,0.0147607364410668,0.00945485009873736,0.0455787604970778,0.0137234955019648,0.00337103305208146,0.0243552151277602,0.0157979773801688,0.014700895617657,0.0110705523308001,0.0223405740729659,0.0132447689146869,0.051881993896236,0.00869686633554744,0.00275267787684759,0.021582590309776,0.0369816288672132,0.0264097500648276,0.0255719785370913,0.00261304928889155,0.00590429457642671,0.000458779646141264,0.0233977619532045,0.0180320347874653,0.0289430115891728,0.0137035485608282,0.0193285859613428,0.0317355833482935,0.0739433107932898,0.0158378712624419,0.00915564598168871,0.0031715636407157,0.0235573374822971,0.0186703369038358,0.0595815131749546,0.0217022719565955,0.00939500927532763,0.0438034827359224,0.0164761733788124,0.00716095186803104
"GB",0.0309382800195264,0.0605226073260815,0.0174724373912002,0.0150869016588223,0.0277974781479401,0.0160079579261497,0.0207513977028857,0.00482633484079542,0.0143408460822872,0.0286172182258614,0.017767175396745,0.0144513728343665,0.0238185150730858,0.0145803207117923,0.0446435972773577,0.0404067384476518,0.00429212220574555,0.0132632102495141,0.0601173425684575,0.0267751056912067,0.0444041226478526,0.0113289920881267,0.00796713671238176,0.00138158440099106,0.0334711847546767,0.00836319090733253,0.0267658951285334,0.0136408433191184,0.0622173508579639,0.0466791316281512,0.0181171767783294,0.024665886839027,0.0223540356080353,0.0197934991848652,0.0280093210894254,0.0139263707619899,0.027594845769128,0.028469849223089,0.0173803317644675,0.0339593445763602,0.0101592506286209,0.0028736955540614
"IT",0.0296610169491525,0.0457627118644068,0.100267618198037,0.00383586083853702,0.0103033006244425,0.0607047279214987,0.00584299732381802,0.00330062444246209,0.0141391614629795,0.0189562890276539,0.0101694915254237,0.00981266726137377,0.0186440677966102,0.0072256913470116,0.0524977698483497,0.012399643175736,0.00477252453166815,0.0429973238180196,0.0435771632471008,0.0154772524531668,0.0202051739518287,0.00182872435325602,0.00664585191793042,4.46030330062444e-05,0.0129348795718109,0.0157448706512043,0.051828724353256,0.0107047279214987,0.0214540588760036,0.0461195361284567,0.103122212310437,0.00637823371989295,0.00829616413916146,0.00107047279214987,0.0305084745762712,0.0136039250669045,0.054014272970562,0.0204727921498662,0.0036128456735058,0.0442016057091882,0.00611061552185549,0.0107493309545049
"JP",0.0188997578523161,0.0155166837131643,0.0775047424230504,0.00218544841030483,0.0167143094420113,0.00666998854825033,0.0176846485361867,0.00758787688057836,0.0158488718715306,0.0365319556266555,0.0131651412236763,0.0134711040011189,0.0564632451286355,0.00604932119972376,0.0680723470841747,0.0170115304258128,0.00121510931612948,0.0201585761366517,0.0167143094420113,0.0159887405697901,0.0102278985602266,0.00381142202757162,0.00581329277141084,0.000166094079183167,0.0294248773963442,0.0371788483561057,0.00856695776839492,0.0276940022553828,0.0366281153567089,0.0524420200536746,0.0315841004257253,0.00799874118171567,0.00929252664061612,0.00233405890220555,0.0772337468201726,0.0151233029993094,0.0922084393275812,0.040098607432273,0.0206044076123539,0.0353692970723733,0.00759661867421958,0.00514891645467817
"KR",0.033245886000477,0.0143572621035058,0.0342475554495588,0.0110660624850942,0.00720248032435011,0.0311471500119246,0.0112091581206773,0.00228953016932984,0.00181254471738612,0.0629143811113761,0.037872644884331,0.0051991414261865,0.0370617696160267,0.00310040543763415,0.0966849511089912,0.0252802289530169,0,0.0262818984020987,0.032482709277367,0.0035296923443835,0.00395897925113284,0,0.00276651562127355,9.53970903887431e-05,0.0212258526114954,0.00896732649654186,0.00500834724540901,0.0264726925828762,0.000190794180777486,0.139709038874314,0.0080610541378488,0.0123062246601479,0.0093966134032912,0,0.0710708323396136,0.00629620796565705,0.149248747913189,0.0142141664679227,0.0102074886715955,0.0259957071309325,0.00329119961841164,0.0045313617934653
"MX",0.00468462439350845,0.00334616028107746,0.0142211811945792,0.0254308181361887,0.0401539233729296,0.0389827672745525,0.0232558139534884,0.0133846411243099,0.00334616028107746,0.0122134850259327,0.0252635101221349,0.0170654174334951,0.0222519658691651,0.0153923372929563,0.0389827672745525,0.0465116279069767,0.00401539233729296,0.0381462272042831,0.021080809770788,0.0358039150075289,0.0403212313869834,0.0235904299815961,0.0373096871340137,0,0.0498577881880542,0.0103730968713401,0.00602308850593943,0.0259327421783503,0.0451731637945458,0.0163961853772796,0.056717416764263,0.0429981596118454,0.0346327589091517,0.00920194077296303,0.0332942947967208,0.00920194077296303,0.0222519658691651,0.00518654843567007,0.0153923372929563,0.0179019575037644,0.0266019742345658,0.0281077463610507
"NL",0.0352978928227618,0.0218205155631618,0.0159375334260349,0.00609690876029522,0.0209648090704888,0.00909188148465077,0.0328377366563269,0.00705957856455236,0.0135843405711841,0.0125147074553428,0.00459942239811745,0.0671729596748315,0.0116590009626698,0.00951973473098727,0.04898919670553,0.0334795165258316,0.00470638570970157,0.0207508824473206,0.0331586265910793,0.037971975612365,0.0566905551395871,0.0112311477163333,0.0207508824473206,0.00748743181088886,0.0326238100331586,0.0116590009626698,0.0252433415338539,0.00374371590544443,0.0492031233286983,0.0382928655471173,0.0401112418440475,0.0247085249759333,0.0216065889399936,0.00032088993475238,0.031233286982565,0.00855706492673013,0.0546582522194887,0.0100545512889079,0.0255642314686063,0.0347630762648412,0.0264199379612793,0.0178628730345491
"PL",0.0261822067860005,0.0219075607801229,0.116484103660166,0.0141597648944697,0.00828212663638792,0.0301896874165108,0.00133582687683676,0.0154955917713064,0.0160299225220411,0.0208388992786535,0.00828212663638792,0.0219075607801229,0.00828212663638792,0.00774779588565322,0.0678600053433075,0.00908362276248998,0,0.119155757413839,0.0526315789473684,0.00427464600587764,0.00961795351322469,0.00641196900881646,0.00534330750734705,0,0.0146940956452044,0.0109537803900614,0.023510553032327,0.00721346513491851,0.0157627571466738,0.0438151215602458,0.0347314987977558,0.00347314987977558,0.00694629975955116,0.000534330750734705,0.093240716003206,0.00480897675661234,0.023510553032327,0.0211060646540208,0.00988511888859204,0.0833555971146139,0.00534330750734705,0.0056104728827144
"PR",0.0361889184215907,0,0.00337354324269066,0.00613371498671028,0.0782048660805561,0.0277039460233081,0.0235125741157228,0.00204457166223676,0.00378245757513801,0.00879165814761807,0.0194234307912492,0.00286240032713147,0.020854630954815,0.0167654876303414,0.0399713759967287,0.0361889184215907,0.0174810877121243,0.0485585769781231,0.0167654876303414,0.0217746882028215,0.0587814352893069,0.00623594356982212,0.0303618891842159,0,0.0563279492946228,0.0306685749335514,0.000920057248006543,0.0149253731343284,0.0259660601104069,0.0304641177673277,0,0.0855653240646085,0.0551012062972807,0.0297485176855449,0.00378245757513801,0.0303618891842159,0.0319975465140053,0.0148231445512165,0.0190145164588019,0.0256593743610714,0.0136986301369863,0.00521365773870374
